NIRF_Rank,Institute,Placements_rating,Infrastructure_rating,Faculty_Course_Curriculum_rating,Crowd_Campus_Life_rating,Value_for_Money_rating,Learning_Experience_rating,Total_Reviews,Fees,Salary,Courses
150,"GITAM School of Technology, Visakhapatnam4.",3.9,4.4,3.9,4.3,3.7,0.0,675.0,₹ 12.21 LakhNot RankedIndia Today ,,B.Tech
150,GRIET Hyderabad4.,4.5,4.5,4.5,4.5,4.4,0.0,1267.0,₹ 5.20 LakhSalary ,₹ 6.00 Lakh 158India Today ,B.Tech
150,Hindustan Institute of Technology and Science3.,3.2,4.0,3.8,4.0,3.6,0.0,307.0,₹ 9.30 LakhSalary ,₹ 4.50 Lakh 76India Today ,B.Tech
150,"Indian Institute of Information Technology Design & Manufacturing , Kancheepuram4.",3.6,4.5,4.2,4.2,4.2,0.0,78.0,₹ 7.20 LakhNot RankedIndia Today ,,B.Tech
150,IIT Dharwad - Indian Institute of Technology3.,3.6,4.1,4.1,4.0,3.9,0.0,68.0,₹ 8.00 LakhSalary ,₹ 10.00 Lakh Not RankedIndia Today ,B.Tech
150,"Jawaharlal Nehru Technological University, Kakinada3.",3.5,3.6,3.8,4.0,4.1,0.0,393.0,₹ 1.80 LakhSalary ,₹ 4.46 Lakh Not RankedIndia Today ,B.Tech
150,Jaypee Institute of Information Technology3.,4.0,3.9,3.7,4.0,3.7,0.0,790.0,₹ 12.73 LakhSalary ,₹ 6.50 Lakh 56India Today ,B.Tech
150,Karunya Institute of Technology and Sciences4.,3.7,4.4,4.0,4.1,3.8,0.0,348.0,₹ 11.74 LakhSalary ,₹ 3.50 Lakh Not RankedIndia Today ,B.Tech
150,KEC - Kongu Engineering College4.,4.1,4.4,4.1,4.3,4.2,0.0,236.0,₹ 2.00 LakhSalary ,₹ 4.50 Lakh 89India Today ,B.Tech
150,KPR Institute of Engineering and Technology4.,4.3,4.6,4.4,4.5,4.4,0.0,155.0,,,B.Tech
150,Mahindra University4.,3.9,4.7,4.2,4.5,3.8,0.0,36.0,₹ 20.00 LakhNot RankedIndia Today ,,B.Tech
150,Manav Rachna International Institute of Research & Studies3.,3.4,4.3,4.0,4.0,3.7,0.0,391.0,₹ 8.02 LakhSalary ,₹ 4.25 Lakh Not RankedIndia Today ,B.Tech
150,MAKAUT - Maulana Abul Kalam Azad University of Technology3.,3.5,4.0,4.0,4.0,3.9,0.0,115.0,₹ 2.40 LakhSalary ,₹ 4.50 Lakh 83India Today ,B.Tech
150,Mepco Schlenk Engineering College3.,3.6,4.2,3.8,3.7,3.9,0.0,67.0,₹ 2.00 LakhSalary ,₹ 5.00 Lakh 122India Today ,B.Tech
150,NIT Arunachal Pradesh - National Institute of Technology3.,3.5,3.5,3.8,3.4,3.7,0.0,41.0,₹ 5.00 LakhNot RankedIndia Today ,,B.Tech
150,NIT Goa - National Institute of Technology3.,3.8,3.2,4.0,3.5,3.8,0.0,58.0,₹ 5.00 LakhNot RankedIndia Today ,,B.Tech
150,NIT Hamirpur - National Institute of Technology4.,3.7,4.3,3.8,4.5,4.1,0.0,439.0,₹ 7.69 Lakh22India Today ,,B.Tech
150,NIT Manipur - National Institute of Technology3.,3.3,2.8,3.5,3.5,3.6,0.0,41.0,₹ 5.00 LakhNot RankedIndia Today ,,B.Tech
150,NIT Mizoram - National Institute of Technology3.,4.0,3.0,4.0,2.9,4.0,0.0,82.0,₹ 5.00 LakhNot RankedIndia Today ,,B.Tech
150,"National Institute of Technology, Uttarakhand3.",3.1,2.6,3.7,3.4,3.4,0.0,82.0,₹ 5.00 Lakh33India Today ,,B.Tech
150,NIT Jamshedpur - National Institute of Technology4.,4.5,3.7,3.8,4.1,4.1,0.0,672.0,,₹ 9.50 Lakh Not RankedIndia Today ,B.Tech
150,NITTE Meenakshi Institute of Technology3.,3.8,3.9,4.0,4.1,3.8,0.0,370.0,₹ 9.00 Lakh64India Today ,,B.Tech
150,Noida Institute of Engineering and Technology (NIET)4.,4.1,3.8,4.2,3.8,4.1,0.0,1680.0,₹ 4.74 LakhSalary ,₹ 4.52 Lakh Not RankedIndia Today ,B.Tech
150,IIITDM Jabalpur - Indian Institute of Information Technology Design and Manufacturing4.,3.9,4.2,4.0,4.2,4.3,0.0,237.0,₹ 5.74 LakhNot RankedIndia Today ,,B.Tech
150,Panjab University3.,3.4,3.7,3.9,4.2,4.1,4.6,963.0,"₹ 99,710Salary ",,B.Tech
150,PES University4.,4.1,4.1,4.0,3.9,3.9,0.0,462.0,₹ 18.00 LakhSalary ,₹ 8.00 Lakh Not RankedIndia Today ,B.Tech
150,PSG Institute of Technology and Applied Research4.,4.2,4.6,4.2,4.0,4.4,0.0,28.0,₹ 2.00 LakhSalary ,₹ 5.00 Lakh Not RankedIndia Today ,B.Tech
150,"Punjab Engineering College, Chandigarh3.",4.1,3.5,3.7,4.3,4.0,0.0,370.0,₹ 7.04 LakhSalary ,₹ 12.00 Lakh Not RankedIndia Today ,B.Tech
150,Rajalakshmi Engineering College4.,4.4,4.2,4.4,4.5,4.3,0.0,428.0,,₹ 4.71 Lakh 97India Today ,B.Tech
150,Sharda University4.,3.4,4.4,4.0,4.4,3.7,0.0,575.0,₹ 12.55 LakhSalary ,₹ 3.35 Lakh Not RankedIndia Today ,B.Tech
150,Sri Sairam Engineering College4.,4.2,4.2,4.3,4.1,4.0,0.0,241.0,₹ 2.00 LakhSalary ,₹ 4.60 Lakh 75India Today ,B.Tech
150,The NorthCap University4.,3.7,4.3,4.1,4.1,3.6,0.0,342.0,₹ 9.89 LakhSalary ,₹ 5.20 Lakh Not RankedIndia Today ,B.Tech
150,Thiagarajar College of Engineering4.,4.2,4.2,4.3,4.5,4.5,0.0,171.0,"₹ 34,400Salary ",₹ 6.33 Lakh 53India Today ,B.Tech
150,"University College of Engineering, Adikavi Nannaya University3.",3.3,3.5,4.3,5.0,4.0,5.0,3.0,₹ 1.40 LakhSalary ,₹ 4.80 Lakh Not RankedIndia Today ,B.Tech
150,Veermata Jijabai Technological Institute - VJTI Mumbai4.,4.5,3.4,3.8,4.3,4.4,0.0,263.0,"₹ 60,000Not RankedIndia Today ",,B.Tech
150,"VELS Institute of Science, Technology and Advanced Studies (VISTAS)3.",3.6,3.8,4.0,4.1,3.8,0.0,140.0,₹ 4.64 Lakh198India Today ,,B.Tech
200,Annamalai University3.,3.1,3.7,4.0,3.9,3.9,5.0,152.0,₹ 2.00 LakhSalary ,₹ 3.83 Lakh Not RankedIndia Today ,B.Tech
200,Crescent School of Life Sciences (B.S.Abdur Rahman University)4.,4.1,4.5,4.7,4.6,4.5,0.0,32.0,₹ 1.50 LakhSalary ,₹ 4.25 Lakh Not RankedIndia Today ,B.Tech
200,Anurag University4.,4.1,4.4,4.2,4.2,4.0,0.0,564.0,₹ 11.40 Lakh167India Today ,,B.Tech
200,BMS College of Engineering4.,4.2,4.1,4.2,4.4,4.3,0.0,401.0,₹ 10.46 LakhSalary ,₹ 9.00 Lakh 24India Today ,B.Tech
200,Vishwakarma Institute of Information Technology3.,4.0,3.7,4.2,3.9,3.8,0.0,412.0,₹ 6.19 LakhSalary ,₹ 6.40 Lakh Not RankedIndia Today ,B.Tech
200,Bharati Vidyapeeths College of Engineering4.,4.3,4.3,5.0,4.7,4.0,0.0,3.0,₹ 3.48 LakhSalary ,₹ 5.38 Lakh Not RankedIndia Today ,B.Tech
200,"CMR Institute of Technology, Bangalore4.",4.1,4.1,4.2,4.1,4.0,0.0,466.0,₹ 3.86 Lakh116India Today ,,B.Tech
200,"Chaitanya Bharathi Institute of Technology, Hyderabad4.",4.2,3.9,4.1,4.4,4.0,0.0,620.0,₹ 5.60 LakhSalary ,₹ 6.30 Lakh 62India Today ,B.Tech
200,CVR College of Engineering4.,4.4,4.2,4.3,4.2,4.2,0.0,566.0,₹ 6.00 LakhSalary ,₹ 4.50 Lakh 91India Today ,B.Tech
200,Dayalbagh Educational Institute [DEI]4.,3.6,3.7,4.2,3.9,4.7,5.0,436.0,"₹ 27,840Salary ",₹ 5.20 Lakh Not RankedIndia Today ,B.Tech
200,Dr. D. Y. Patil Institute Of Technology4.,4.3,4.3,4.3,4.1,4.3,0.0,265.0,₹ 3.60 LakhNot RankedIndia Today ,,B.Tech
200,SRM Easwari Engineering College4.,4.3,4.2,4.4,4.5,4.1,0.0,223.0,₹ 2.00 LakhSalary ,₹ 5.28 Lakh 125India Today ,B.Tech
200,"G.H. Raisoni College of Engineering, Nagpur3.",3.8,4.0,4.1,4.0,3.9,0.0,468.0,₹ 6.81 Lakh120India Today ,,B.Tech
